name,category,model,wer,simdist,num_words,num_sentences
t,Test,Whisper-large-v3,1.5714285714285714,0.27174025774002075,14,2
t-2,Test,Whisper-large-v3,0.06535947712418301,0.9840114116668701,153,13
t-1,Test,Whisper-large-v3,0.06741573033707865,0.7576123476028442,178,17
t-3,Test,Whisper-large-v3,0.04918032786885246,0.9016013741493225,183,19
t,Test,NVIDIA Parakeet TDT 0.6B v3,1.6428571428571428,0.41221532225608826,14,2
t-2,Test,NVIDIA Parakeet TDT 0.6B v3,0.058823529411764705,0.9823325276374817,153,13
t-1,Test,NVIDIA Parakeet TDT 0.6B v3,0.07865168539325842,0.7449862360954285,178,17
t-3,Test,NVIDIA Parakeet TDT 0.6B v3,0.04371584699453552,0.8909517526626587,183,19
t,Test,Cohere Labs Transcribe,1.6428571428571428,0.3583980202674866,14,2
t-2,Test,Cohere Labs Transcribe,0.05228758169934641,0.9858933091163635,153,13
t-1,Test,Cohere Labs Transcribe,0.0449438202247191,0.7615948915481567,178,17
t-3,Test,Cohere Labs Transcribe,0.03825136612021858,0.8906835317611694,183,19
t,Test,NVIDIA Canary 1B v2,1.5714285714285714,0.2098737359046936,14,2
t-2,Test,NVIDIA Canary 1B v2,0.0457516339869281,0.9824048280715942,153,13
t-1,Test,NVIDIA Canary 1B v2,0.15168539325842698,0.6869245767593384,178,17
t-3,Test,NVIDIA Canary 1B v2,0.366120218579235,0.660526692867279,183,19
